# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	5390
#@/user_id	arsiendle_ph
a;ka 	啊	c=9 d=1.45172 t=5390
fāng;dg,wd,dp,dw xiàng;pk jiàn;jj 	方向键	c=1 d=0.122456 t=5390
fāng;dg,wd,dp,dw àn;bm,ma 	方案	c=10 d=1.80088 t=5390
fēi;aa 	非	c=1 d=0.0238732 t=5390
fēi;aa yào;xn 	非要	c=1 d=0.117655 t=5390
fēi;yd chū;ck,aa qù;ts 	飞出去	c=1 d=0.00126207 t=5390
fēi;yd dào;dv 	飞到	c=1 d=1.50759e-06 t=5390
fēn;bd,db bié;dl 	分别	c=1 d=0.511709 t=5390
fēn;bd,db cí;ys 	分词	c=1 d=5.10822e-10 t=5390
fēn;bd,db kāi;ac 	分开	c=1 d=0.860708 t=5390
fēn;bd,db xiǎng;wz,zk 	分享	c=1 d=0.733447 t=5390
fēn;bd,db xiǎng;wz,zk yí;aa xià;ab,ad 	分享一下	c=1 d=0.00086741 t=5390
fēn;qf wéi;kw gǎn;xx 	氛围感	c=1 d=0.408608 t=5390
fěn;mf sī;aa 	粉丝	c=1 d=0.218712 t=5390
fǎ;dq 	法	c=2 d=0.445112 t=5390
fǎn;py chá;md 	反查	c=3 d=0.782705 t=5390
fǎn;py fù;pw,rw,wo 	反复	c=1 d=0.00177315 t=5390
fǎn;py kuì;ug 	反馈	c=2 d=0.104407 t=5390
fǎn;py rén;pd lèi;md 	反人类	c=1 d=0.0265162 t=5390
fǎn;py zhèng;av 	反正	c=4 d=0.708791 t=5390
fǎn;py zhí;aa,uq jué;dj,jb 	反直觉	c=2 d=0.00649351 t=5390
fǎn;py ér;aa 	反而	c=3 d=0.66034 t=5390
fǎng;rf zhēn;uj 	仿真	c=1 d=0.852144 t=5390
fǒu;kb dìng;bp 	否定	c=3 d=0.00503772 t=5390
fǔ;if 	辅	c=0 d=0.00031042 t=5390
fǔ;if zhù;lq,ql 	辅助	c=1 d=0.0160767 t=5390
fǔ;if zhù;lq,ql mǎ;um 	辅助码	c=14 d=0.863632 t=5390
fǔ;if zhù;lq,ql yǐn;ga dǎo;cs,sc 	辅助引导	c=1 d=0.0298969 t=5390
guà;fg 	挂	c=1 d=0.000902809 t=5390
guà;fg jiē;fq 	挂接	c=2 d=0.0014795 t=5390
guò;zc le;aa,vu 	过了	c=0 d=1.57698e-07 t=5390
guò;zc qī;oq,qo le;aa,vu 	过期了	c=1 d=0.00238156 t=5390
guó;ky wài;xb 	国外	c=1 d=0.0273237 t=5390
guān;bt,qd bì;mc 	关闭	c=2 d=0.0234204 t=5390
guān;bt,qd diào;fv 	关掉	c=1 d=6.55908e-10 t=5390
guān;bt,qd jiàn;jj zì;bz 	关键字	c=1 d=0.839457 t=5390
guān;bt,qd jī;mj 	关机	c=1 d=0.0124629 t=5390
guān;bt,qd yú;aa 	关于	c=1 d=0.00207043 t=5390
guān;bt,qd zhù;dv 	关注	c=1 d=4.46313e-10 t=5390
guāng;ea,xw biāo;mu 	光标	c=2 d=0.158152 t=5390
guī;fj,jf zé;bd,db 	规则	c=1 d=0.011109 t=5390
guī;mg mì;ib,bi 	闺蜜	c=1 d=1 t=5390
guō;ex qí;lq lín;ll 	郭麒麟	c=2 d=0.0577479 t=5390
guǎng;dp gào;kn,nk 	广告	c=1 d=0.16696 t=5390
guǐ;yw yì;cs,sc 	诡异	c=1 d=0.109701 t=5390
guǒ;ad,tm hé;mh 	果核	c=1 d=0.0224829 t=5390
guǒ;ad,tm miē;ky 	果咩	c=1 d=0.000987829 t=5390
guǒ;ad,tm rán;hq 	果然	c=2 d=0.396535 t=5390
gài;mj bù;ad,ax 	概不	c=0 d=0.000690853 t=5390
gài;mj bù;ad,ax míng;oo bái;pa,po 	概不明白	c=1 d=0.00694315 t=5390
gàn;aa má;km 	干嘛	c=2 d=0.146713 t=5390
gàn;aa shá;ku 	干啥	c=2 d=0.83527 t=5390
gàn;aa shén;ru me;ps 	干什么	c=1 d=0.031273 t=5390
gào;kn,nk sù;yi wǒ;pd,pp 	告诉我	c=2 d=0.511709 t=5390
gè;ra,pa 	个	c=19 d=1.99898 t=5390
gè;ra,pa rén;pd 	个人	c=3 d=0.687289 t=5390
gè;wk zhǒng;hv gè;wk yàng;my 	各种各样	c=1 d=0.687289 t=5390
gèng;ad,ag 	更	c=1 d=0.960789 t=5390
gèng;ad,ag bù;ad,ax néng;sb 	更不能	c=1 d=0.847894 t=5390
gèng;ad,ag hǎo;nz 	更好	c=1 d=0.0808629 t=5390
gèng;ad,ag xíng;xd,xi 	更行	c=2 d=0.267141 t=5390
gé;mg shì;gy,yg 	格式	c=10 d=1.91713 t=5390
gòng;bc,cb yòng;kf 	共用	c=1 d=0.000309671 t=5390
gòu;jd,xj dà;ad 	够大	c=1 d=0.000925663 t=5390
gòu;jd,xj le;aa,vu 	够了	c=1 d=0.241714 t=5390
gù;kg dìng;bp 	固定	c=1 d=0.000523486 t=5390
gāi;yh 	该	c=4 d=2.68067 t=5390
gāi;yh gàn;aa shén;ru me;ps 	该干什么	c=1 d=0.0231853 t=5390
gāi;yh jiào;kj 	该叫	c=1 d=3.25714e-10 t=5390
gān;aa jìng;dv 	干净	c=1 d=0.0338776 t=5390
gāng;dg 	刚	c=4 d=0.173758 t=5390
gāng;dg gāng;dg 	刚刚	c=1 d=3.40706e-10 t=5390
gāng;dg yòng;kf 	刚用	c=1 d=0.32628 t=5390
gāo;wk zhōng;aa,ka 	高中	c=2 d=0.00687413 t=5390
gēn;zg zhe;yo 	跟着	c=1 d=0.182684 t=5390
gēng;ad,ag gǎi;wj,jw 	更改	c=1 d=0.0459593 t=5390
gēng;ad,ag huàn;fh 	更换	c=1 d=0.0124629 t=5390
gēng;ad,ag xīn;jq 	更新	c=30 d=3.13981 t=5390
gēng;ad,ag xīn;jq yí;aa cì;dq 	更新一次	c=1 d=0.0850088 t=5390
gēng;ad,ag xīn;jq zhī;dd qián;bd,qd 	更新之前	c=1 d=0.000777056 t=5390
gěi;sh 	给	c=9 d=0.320736 t=5390
gěi;sh chū;ck,aa 	给出	c=8 d=0.991188 t=5390
gěi;sh nǐ;re 	给你	c=1 d=0.00557201 t=5390
gěi;sh wǒ;pd,pp 	给我	c=5 d=0.0497871 t=5390
gōng;aa jù;ba,bq,qb lán;ml 	工具栏	c=4 d=0.0730595 t=5390
gōng;gl,lg néng;sb 	功能	c=9 d=1.27013 t=5390
gōng;gx,xg wéi;sv 	恭维	c=1 d=1.28468e-06 t=5390
gǎi;wj,jw 	改	c=13 d=0.983569 t=5390
gǎi;wj,jw biàn;wy,yy 	改变	c=2 d=0.48106 t=5390
gǎi;wj,jw chéng;gg,wg 	改成	c=7 d=0.208786 t=5390
gǎi;wj,jw de;xc 	改得	c=1 d=0.0500364 t=5390
gǎi;wj,jw fǎ;dq 	改法	c=1 d=0.0159229 t=5390
gǎi;wj,jw guò;zc 	改过	c=1 d=0.0330412 t=5390
gǎi;wj,jw huí;kk qù;ts 	改回去	c=1 d=0.247833 t=5390
gǎi;wj,jw le;aa,vu 	改了	c=1 d=0.00571304 t=5390
gǎn;xx jué;dj,jb 	感觉	c=11 d=2.64032 t=5390
gǎn;xx jué;dj,jb huì;ry 	感觉会	c=1 d=0.0206508 t=5390
gǎn;xx jué;dj,jb le;aa,vu 	感觉了	c=1 d=0.00474813 t=5390
gǎn;xx jué;dj,jb tài;dd 	感觉太	c=1 d=0.00384878 t=5390
gǎn;xx jué;dj,jb zhè;zw ge;ra,pa 	感觉这个	c=1 d=1 t=5390
gǎn;xx tàn;ky 	感叹	c=1 d=0.0140519 t=5390
gǎn;xx xiè;yu 	感谢	c=2 d=0.923116 t=5390
gǎo;fg bù;ad,ax dǒng;xd 	搞不懂	c=2 d=0.117141 t=5390
gǎo;fg chū;ck,aa lái;am,wb 	搞出来	c=1 d=0.0266491 t=5390
gǎo;fg dǒng;xd 	搞懂	c=1 d=0.054204 t=5390
gǎo;fg qīng;dq chǔ;mp,pl 	搞清楚	c=1 d=0.00618889 t=5390
gǒu;qj 	狗	c=1 d=8.50667e-10 t=5390
gǔ;bk,kr gē;qg 	谷歌	c=3 d=1.89711 t=5390
gǔ;uk 	古	c=3 d=0.00463141 t=5390
gǔ;uk cí;ys 	古词	c=2 d=0.0026937 t=5390
huà;ak de;bu 	画的	c=0 d=0.0031117 t=5390
huà;ak de;bu shá;ku 	画的啥	c=1 d=0.031273 t=5390
huà;dg,gd zhōng;aa,ka 	划中	c=1 d=0.0317456 t=5390
huà;rb 	化	c=1 d=0.00657159 t=5390
huà;yu 	话	c=8 d=0.454732 t=5390
huà;yu shuō;yd 	话说	c=2 d=0.600519 t=5390
huài;tb xiāo;dx xi;xz,zx 	坏消息	c=1 d=0.0254765 t=5390
huàn;fh 	换	c=4 d=1.25439 t=5390
huàn;fh gè;ra,pa 	换个	c=1 d=0.600496 t=5390
huàn;fh háng;xd,xi 	换行	c=8 d=4.37506 t=5390
huàn;fh le;aa,vu 	换了	c=1 d=0.00123091 t=5390
huàn;fh yè;ab 	换页	c=1 d=0.0303488 t=5390
huá;dg dòng;ly,yl 	滑动	c=10 d=1.20328 t=5390
huì;ry 	会	c=26 d=1.62431 t=5390
huì;ry biàn;wy,yy 	会变	c=0 d=0.000296761 t=5390
huì;ry bèi;yp 	会被	c=1 d=0.594521 t=5390
huì;ry cuò;jx yì;xy,lx 	会错意	c=0 d=0.00166557 t=5390
huí;kk 	回	c=1 d=0.194952 t=5390
huí;kk dào;dv 	回到	c=4 d=0.0705935 t=5390
huí;kk lái;am,wb 	回来	c=1 d=0.00227676 t=5390
huí;kk qù;ts 	回去	c=0 d=1.03615e-07 t=5390
huò;cq qǔ;ey,ye 	获取	c=1 d=0.315058 t=5390
huò;gk zhě;lo,ol 	或者	c=8 d=0.757872 t=5390
huò;gk zhě;lo,ol shuō;yd 	或者说	c=1 d=0.0330412 t=5390
huā;ch 	花	c=0 d=1.01563e-07 t=5390
huān;yq yíng;ze 	欢迎	c=1 d=0.179066 t=5390
huī;xh fù;pw,rw,wo 	恢复	c=2 d=0.68122 t=5390
hào;nz qí;dk 	好奇	c=2 d=0.0222138 t=5390
hái;zb 	还	c=17 d=1.23788 t=5390
hái;zb bù;ad,ax pǎo;zb 	还不跑	c=1 d=0.00367942 t=5390
hái;zb bú;ad,ax huì;ry 	还不会	c=1 d=0.0357931 t=5390
hái;zb děi;xc 	还得	c=6 d=0.726243 t=5390
hái;zb huì;ry 	还会	c=2 d=0.0278313 t=5390
hái;zb hǎo;nz 	还好	c=2 d=0.671265 t=5390
hái;zb kě;dk yǐ;rd,ry 	还可以	c=2 d=0.214101 t=5390
hái;zb méi;du 	还没	c=2 d=0.965605 t=5390
hái;zb méi;du kàn;ou,uo 	还没看	c=1 d=0.000399619 t=5390
hái;zb néng;sb 	还能	c=2 d=0.142765 t=5390
hái;zb shuō;yd 	还说	c=1 d=0.034562 t=5390
hái;zb shì;op,ov 	还是	c=37 d=1.36185 t=5390
hái;zb shǔ;uy 	还属	c=0 d=0.000115923 t=5390
hái;zb shǔ;uy yīn;lo jié;ce ne;kn 	还属音节呢	c=1 d=0.00116504 t=5390
hái;zb tǐng;ft hǎo;nz 	还挺好	c=1 d=0.00101284 t=5390
hái;zb xíng;xd,xi 	还行	c=1 d=0.00301246 t=5390
hái;zb yào;xn 	还要	c=1 d=0.257947 t=5390
hái;zb yǒu;ou,uo 	还有	c=8 d=1.69891 t=5390
hái;zb zài;ta,ut 	还在	c=3 d=0.612626 t=5390
hán;ku,lk shù;wl 	函数	c=2 d=0.528907 t=5390
háng;vk xiàn;sj 	航线	c=1 d=0.0023935 t=5390
háng;xd,xi 	行	c=0 d=0.0729789 t=5390
hè;nv hè;nv 	鹤鹤	c=4 d=1.56064 t=5390
hè;nv hè;nv de;bu 	鹤鹤的	c=1 d=3.61775e-10 t=5390
hè;nv hè;nv shì;op,ov zhè;zw yàng;my de;bu 	鹤鹤是这样的	c=1 d=0.00491728 t=5390
hé;hk 	和	c=41 d=4.31059 t=5390
hé;mh xīn;dd 	核心	c=1 d=0.0178634 t=5390
hé;rk bìng;bk,qc 	合并	c=2 d=0.42122 t=5390
hòu;pk 	后	c=10 d=0.984488 t=5390
hòu;pk miàn;aa 	后面	c=2 d=0.482714 t=5390
hòu;pk mén;dg 	后门	c=1 d=0.00319873 t=5390
hòu;pk tái;sk 	后台	c=1 d=0.304221 t=5390
hòu;ru xuǎn;zx cí;ys 	候选词	c=1 d=0.408608 t=5390
hóng;sg guǒ;ad,tm 	红果	c=2 d=0.355457 t=5390
hā;kh 	哈	c=2 d=0.813515 t=5390
hā;kh hā;kh 	哈哈	c=2 d=0.494464 t=5390
hā;kh hā;kh hā;kh 	哈哈哈	c=0 d=0.0362575 t=5390
hā;kh hā;kh hā;kh hā;kh 	哈哈哈哈	c=2 d=0.740818 t=5390
hā;kh hā;kh hā;kh hā;kh hā;kh 	哈哈哈哈哈	c=2 d=0.848414 t=5390
hā;kh hā;kh hā;kh hā;kh hā;kh hā;kh 	哈哈哈哈哈哈	c=1 d=0.00198925 t=5390
hā;kh hā;kh hā;kh hā;kh hā;kh hā;kh hā;kh hā;kh 	哈哈哈哈哈哈哈哈	c=1 d=0.362403 t=5390
hēi;ad,ha mèng;mx,xl 	黑梦	c=1 d=8.25526e-10 t=5390
hēi;ad,ha yè;wd,ww 	黑夜	c=2 d=0.204504 t=5390
hēi;kh hēi;kh hēi;kh hēi;kh 	嘿嘿嘿嘿	c=1 d=7.77451e-10 t=5390
hěn;qg rén;pd 	狠人	c=1 d=0.000642594 t=5390
hěn;xg 	很	c=12 d=0.913931 t=5390
hěn;xg cháng;pd 	很长	c=1 d=0.0569831 t=5390
hěn;xg duō;xx 	很多	c=2 d=0.0907334 t=5390
hěn;xg fán;hy 	很烦	c=1 d=0.000515692 t=5390
hěn;xg jiǔ;pd,dd 	很久	c=1 d=0.156453 t=5390
hěn;xg màn;xm 	很慢	c=1 d=0.501576 t=5390
hěn;xg nán;yv shòu;vy,yb 	很难受	c=1 d=1.56129e-06 t=5390
hěn;xg shuǎng;dy 	很爽	c=2 d=0.0452641 t=5390
hěn;xg shǎ;rw 	很傻	c=1 d=0.000754089 t=5390
hěn;xg xǐ;uk huān;yq 	很喜欢	c=1 d=0.00256704 t=5390
hěn;xg yǒu;ou,uo 	很有	c=1 d=0.00585769 t=5390
hěn;xg zāo;mc 	很糟	c=1 d=0.0466538 t=5390
hū;xw shì;ju,uj 	忽视	c=2 d=0.831104 t=5390
hǎn;kx 	喊	c=2 d=1.68354 t=5390
hǎo;nz 	好	c=7 d=1.38947 t=5390
hǎo;nz de;bu 	好的	c=11 d=1.29963 t=5390
hǎo;nz de;bu ba;kb 	好的吧	c=3 d=0.115877 t=5390
hǎo;nz de;bu hǎo;nz de;bu 	好的好的	c=1 d=0.000505483 t=5390
hǎo;nz hǎo;nz hǎo;nz 	好好好	c=1 d=0.127925 t=5390
hǎo;nz hǎo;nz hǎo;nz hǎo;nz 	好好好好	c=1 d=0.941765 t=5390
hǎo;nz kàn;ou,uo 	好看	c=3 d=0.210752 t=5390
hǎo;nz le;aa,vu 	好了	c=4 d=0.131998 t=5390
hǎo;nz ma;km 	好嘛	c=1 d=0.00562801 t=5390
hǎo;nz táng;gk 	好唐	c=1 d=8.89822e-10 t=5390
hǎo;nz tú;kd 	好图	c=1 d=0.00199921 t=5390
hǎo;nz xiàng;rx 	好像	c=3 d=0.171011 t=5390
hǎo;nz xiào;vy le;aa,vu 	好笑了	c=1 d=0.965605 t=5390
hǎo;nz xiāo;dx xī;xz,zx 	好消息	c=1 d=0.0238732 t=5390
hǎo;nz yí;aa gè;ra,pa 	好一个	c=1 d=0.0528657 t=5390
hǎo;nz yòng;kf 	好用	c=2 d=0.97531 t=5390
hǎo;nz àn;oy 	好暗	c=0 d=0.00403566 t=5390
jiàn;jj 	键	c=5 d=2.71101 t=5390
jiàn;jj pán;mv,vm 	键盘	c=10 d=1.30648 t=5390
jiàn;mo,om jiē;fq 	间接	c=5 d=0.0560993 t=5390
jiàn;mo,om jiē;fq fǔ;if 	间接辅	c=2 d=0.00635065 t=5390
jiàn;mo,om jiē;fq fǔ;if zhù;lq,ql 	间接辅助	c=0 d=0.00232837 t=5390
jiàn;mo,om jiē;fq fǔ;if zhù;lq,ql ma;km 	间接辅助吗	c=3 d=0.0234005 t=5390
jiàn;vq tóu;dd 	箭头	c=2 d=0.179066 t=5390
jiàn;zy yì;yy 	建议	c=2 d=0.113471 t=5390
jiào;kj 	叫	c=3 d=0.389204 t=5390
jiào;wx 	教	c=1 d=0.00414854 t=5390
jiè;tj miàn;aa 	界面	c=13 d=0.218816 t=5390
jié;sj guǒ;ad,tm 	结果	c=4 d=1.0864 t=5390
jiù;ao 	旧	c=4 d=0.379594 t=5390
jiù;ao bǎn;pf 	旧版	c=2 d=0.692947 t=5390
jiù;yj 	就	c=52 d=4.11595 t=5390
jiù;yj bù;ad,ax 	就不	c=1 d=0.71177 t=5390
jiù;yj huì;ry 	就会	c=1 d=0.0739031 t=5390
jiù;yj hǎo;nz le;aa,vu 	就好了	c=3 d=0.27805 t=5390
jiù;yj shì;op,ov 	就是	c=22 d=1.72149 t=5390
jiù;yj shì;op,ov le;aa,vu 	就是了	c=1 d=0.0273237 t=5390
jiù;yj shì;op,ov wǒ;pd,pp 	就是我	c=1 d=0.00127475 t=5390
jiù;yj wǒ;pd,pp 	就我	c=1 d=0.000473668 t=5390
jiù;yj xíng;xd,xi 	就行	c=1 d=0.0183156 t=5390
jiā;bu jiào;wx 	家教	c=1 d=0.0327124 t=5390
jiā;lk,kl 	加	c=4 d=0.00471152 t=5390
jiā;lk,kl gè;ra,pa 	加个	c=1 d=0.0156076 t=5390
jiā;lk,kl le;aa,vu 	加了	c=3 d=0.38248 t=5390
jiā;lk,kl rù;pd 	加入	c=0 d=0.0179066 t=5390
jiā;lk,kl rù;pd wǒ;pd,pp 	加入我	c=1 d=0.179964 t=5390
jiā;lk,kl sù;zu 	加速	c=1 d=0.67368 t=5390
jiā;lk,kl yóu;dy 	加油	c=1 d=0.00118265 t=5390
jiān;bd,bj,qd,qj gù;ye 	兼顾	c=1 d=0.025223 t=5390
jiān;bd,bj,qd,qj róng;bg 	兼容	c=1 d=0.00810722 t=5390
jiān;bd,bj,qd,qj zhí;ev 	兼职	c=1 d=0.0325493 t=5390
jiān;mo,om jù;zj 	间距	c=1 d=9.85615e-07 t=5390
jiān;ty chí;fs 	坚持	c=2 d=0.0508097 t=5390
jiāng;dc,jc,pc 	将	c=6 d=0.581865 t=5390
jiāo;li,wf,df 	交	c=1 d=0.00412784 t=5390
jiē;fq 	接	c=2 d=0.230283 t=5390
jiē;fq kǒu;aa 	接口	c=0 d=0.1 t=5389
jiě;jn jué;dd,dg 	解决	c=6 d=1.14696 t=5390
jiě;jn jué;dd,dg bàn;lb fǎ;dq 	解决办法	c=1 d=0.0147723 t=5390
jiě;jn shì;pf,bf yí;aa xià;ab,ad 	解释一下	c=1 d=0.00021605 t=5390
jiū;sj jié;sj 	纠结	c=1 d=0.0141223 t=5390
jiǎ;rj,ry shè;yu 	假设	c=2 d=0.0303515 t=5390
jiǎn;dq qiē;dq,qd 	剪切	c=1 d=1.38474e-06 t=5390
jiǎn;dq qiē;dq,qd bǎn;mf 	剪切板	c=1 d=0.00201931 t=5390
jiǎn;dx sù;zu 	减速	c=1 d=0.677057 t=5390
jiǎn;ma,mq chá;md 	检查	c=4 d=0.0599164 t=5390
jiǎn;vj chún;st 	简纯	c=1 d=0.697676 t=5390
jiǎn;vj cí;ys 	简词	c=2 d=0.608438 t=5390
jiǎn;vj lòu;ea,ev 	简陋	c=1 d=0.226502 t=5390
jiǎn;vj mǎ;um 	简码	c=3 d=0.56836 t=5390
jiǎn;vj pīn;fb 	简拼	c=2 d=1.0249 t=5390
jiǎn;vj shù;zu 	简述	c=1 d=0.463013 t=5390
jiǎn;vj yuē;su 	简约	c=1 d=0.00259285 t=5390
jiǎng;yj 	讲	c=1 d=0.000593188 t=5390
jiǎng;yj jiǎng;yj 	讲讲	c=2 d=0.344731 t=5390
jiǎo;oq běn;aa,ma 	脚本	c=15 d=1.58388 t=5390
jiǔ;py tiān;ad 	九天	c=0 d=0.00507928 t=5390
jiǔ;py tiān;ad yīng;ga yuán;aw,ee léi;yt shēng;um pǔ;ob,bo huà;rb tiān;ad zūn;cq,qc 	九天应元雷声普化天尊	c=1 d=0.0510474 t=5390
jué;dj,jb de;xc 	觉得	c=4 d=0.988154 t=5390
jì;gg,gw rán;hq 	既然	c=3 d=0.316126 t=5390
jì;sa,sv xù;sm 	继续	c=3 d=0.139963 t=5390
jì;yj lù;au,ua,vu 	记录	c=4 d=0.216432 t=5390
jì;yj lù;au,ua,vu ne;kn 	记录呢	c=1 d=0.151829 t=5390
jì;yj yì;xy 	记忆	c=1 d=0.0466538 t=5390
jì;yj zhù;rv 	记住	c=2 d=0.097862 t=5390
jìn;zj 	进	c=2 d=0.946485 t=5390
jìn;zj qù;ts 	进去	c=0 d=0.00875977 t=5390
jìng;qv 	静	c=1 d=0.433874 t=5390
jìng;qv yīn;lo 	静音	c=1 d=0.694197 t=5390
jù;ba,bq,qb tǐ;rb 	具体	c=4 d=0.583844 t=5390
jù;dj qíng;xq 	剧情	c=2 d=0.19324 t=5390
jù;fj 	据	c=1 d=0.00440507 t=5390
jù;gk,kg,pk fǎ;dq 	句法	c=1 d=0.017249 t=5390
jù;gk,kg,pk zi;aa,vh 	句子	c=8 d=0.0666302 t=5390
jù;jj chǐ;vk 	锯齿	c=1 d=0.0728058 t=5390
jú;uk bù;ek,ep biàn;wy,yy liàng;ol 	局部变量	c=1 d=0.878095 t=5390
jī;mj huì;ry 	机会	c=1 d=0.0258615 t=5390
jī;tq,qt běn;aa,ma 	基本	c=1 d=0.000330468 t=5390
jīn;ra,rv nián;ra,pa 	今年	c=1 d=8.01128e-10 t=5390
jīn;ra,rv tiān;ad 	今天	c=5 d=0.0622649 t=5390
jīng;mq jiǎn;vj 	精简	c=1 d=0.337902 t=5390
jīng;mq shen;uu 	精神	c=1 d=0.00119453 t=5390
jīng;sg cháng;jk,xd,dd 	经常	c=1 d=0.00571306 t=5390
jǐ;py 	几	c=1 d=1 t=5390
jǐ;py gè;ra,pa 	几个	c=2 d=0.139659 t=5390
jǐ;py jù;gk,kg,pk huà;yu 	几句话	c=1 d=0.071719 t=5390
jǐ;py xīng;ou 	几星	c=1 d=0.822835 t=5390
jǐn;id guǎn;vg 	尽管	c=2 d=0.026977 t=5390
jǔ;df,xf ge;ra,pa lì;rl zi;aa,vh 	举个例子	c=1 d=0.000219315 t=5390
kuài;xd,xg 	快	c=2 d=1.28584 t=5390
kuài;xd,xg jié;fj jiàn;jj 	快捷键	c=3 d=1.29376 t=5390
kuài;xd,xg kuài;xd,xg 	快快	c=1 d=1 t=5390
kuàng;mk 	框	c=2 d=0.520273 t=5390
kuàng;mk jià;mj 	框架	c=1 d=0.634448 t=5390
kuàng;mk kuàng;mk 	框框	c=1 d=0.0547488 t=5390
kuáng;qw tú;xz 	狂徒	c=1 d=0.831104 t=5390
kuān;bj,jb 	宽	c=2 d=0.284178 t=5390
kàn;ou,uo 	看	c=12 d=3.86719 t=5390
kàn;ou,uo bù;ad,ax chū;ck,aa 	看不出	c=2 d=0.122461 t=5390
kàn;ou,uo bù;ad,ax dǒng;xd 	看不懂	c=1 d=0.822835 t=5390
kàn;ou,uo bù;ad,ax qǐ;zj wǒ;pd,pp 	看不起我	c=1 d=0.951229 t=5390
kàn;ou,uo bú;ad,ax dào;dv 	看不到	c=2 d=0.283222 t=5390
kàn;ou,uo bú;ad,ax tài;dd dǒng;xd 	看不太懂	c=1 d=0.509156 t=5390
kàn;ou,uo chū;ck,aa lái;am,wb 	看出来	c=2 d=0.00237763 t=5390
kàn;ou,uo de;xc 	看得	c=2 d=0.839457 t=5390
kàn;ou,uo de;xc chū;ck,aa lái;am,wb 	看得出来	c=1 d=0.0154523 t=5390
kàn;ou,uo de;xc wǒ;pd,pp dōu;ev tóu;dd tòng;by 	看得我都头痛	c=1 d=0.0159229 t=5390
kàn;ou,uo dào;dv 	看到	c=3 d=0.771325 t=5390
kàn;ou,uo dǒng;xd 	看懂	c=2 d=0.0243415 t=5390
kàn;ou,uo jiàn;ag,ek,ke 	看见	c=1 d=0.00419023 t=5390
kàn;ou,uo kàn;ou,uo 	看看	c=11 d=1.03973 t=5390
kàn;ou,uo le;aa,vu 	看了	c=3 d=0.23137 t=5390
kàn;ou,uo le;aa,vu bàn;bf tiān;ad 	看了半天	c=1 d=0.535261 t=5390
kàn;ou,uo qǐ;zj lái;am,wb 	看起来	c=1 d=0.71177 t=5390
kàn;ou,uo yì;aa tiáo;wm 	看一条	c=1 d=0.165299 t=5390
kàn;ou,uo zhe;yo nǐ;re 	看着你	c=0 d=0.099005 t=5390
kàn;ou,uo zhe;yo nǐ;re de;bu shǒu;pa,ub 	看着你的手	c=1 d=0.995012 t=5390
kè;dh dù;gy 	刻度	c=1 d=0.185444 t=5390
kè;eg,ux lóng;eu 	克隆	c=2 d=1.41944 t=5390
kè;yg 	课	c=0 d=0.000562801 t=5390
kòng;fk zhì;dg,dv xì;ps tǒng;si 	控制系统	c=0 d=0.0843665 t=5390
kùn;km 	困	c=0 d=0.0995012 t=5390
kùn;km rǎo;fy 	困扰	c=1 d=0.316637 t=5390
kāi;ac 	开	c=4 d=0.31507 t=5390
kāi;ac bù;ad,ax kāi;ac 	开不开	c=1 d=0.000439444 t=5390
kāi;ac guān;bt,qd 	开关	c=1 d=0.215456 t=5390
kāi;ac jī;mj le;aa,vu 	开机了	c=0 d=0.00129715 t=5390
kāi;ac le;aa,vu 	开了	c=2 d=0.715338 t=5390
kāi;ac qǐ;hk,kh 	开启	c=1 d=0.327915 t=5390
kāi;ac shǐ;nt 	开始	c=2 d=0.0206537 t=5390
kāi;ac tóu;dd 	开头	c=1 d=0.00951389 t=5390
kāi;ac yí;aa xià;ab,ad 	开一下	c=1 d=0.0129715 t=5390
kě;dk 	可	c=1 d=0.319819 t=5390
kě;dk dìng;bp 	可定	c=1 d=0.00035443 t=5390
kě;dk lè;pd,px 	可乐	c=1 d=0.00226541 t=5390
kě;dk néng;sb 	可能	c=6 d=1.55064 t=5390
kě;dk shì;op,ov 	可是	c=3 d=0.0546716 t=5390
kě;dk wù;xy 	可恶	c=2 d=0.0113963 t=5390
kě;dk yǐ;rd,ry 	可以	c=18 d=2.14692 t=5390
kě;dk yǐ;rd,ry de;bu 	可以的	c=2 d=0.472371 t=5390
kě;dk yǐ;rd,ry le;aa,vu 	可以了	c=1 d=0.000982902 t=5390
kěn;ov,vo dìng;bp 	肯定	c=4 d=0.842146 t=5390
kōng;xg,bg jiān;mo,om 	空间	c=1 d=0.0911727 t=5390
kōng;xg,bg kōng;xg,bg rú;nk yě;gg 	空空如也	c=1 d=3.20865e-10 t=5390
kǎ;bx,ub diǎn;hv 	卡点	c=1 d=0.0123389 t=5390
kǎ;bx,ub kǎ;bx,ub de;bu 	卡卡的	c=1 d=0.923116 t=5390
kǎ;bx,ub piàn;pa,pv 	卡片	c=10 d=1.50191 t=5390
kǎ;bx,ub wǒ;pd,pp 	卡我	c=1 d=0.0124007 t=5390
kǎo;fk dǎ;fd 	拷打	c=0 d=0.0995012 t=5390
kǎo;fk dǎ;fd wǒ;pd,pp 	拷打我	c=1 d=1 t=5390
kǎo;lk diǎn;hv 	考点	c=1 d=0.000347412 t=5390
kǎo;lk lǜ;hx,xh 	考虑	c=1 d=0.308819 t=5390
kǎo;lk lǜ;hx,xh guò;zc 	考虑过	c=1 d=0.0510476 t=5390
